"Division, Sub-Ddivision
Group","Class,Descriptions",Class Description,ISIC-P,ISIC Description,UID,ANZSIC CODE,Level,Division,Sub-Ddivision,Group,Class,Code,Description,ISIC Description,ISIC,ISIC-P,#ANZSIC,"PARENT #ANZSIC",#ISIC,Used For Concordance ,"Matches to 
Concordance
(ANZIC to ISIC)","Matches to 
Concordance
(ISIC to ANZIC)",Matched to NETVIEW,Match ISIC for description,Comments,,,,"#ANZSIC
Codes
Unique",Code
,0144,Sheep-Beef Cattle Farming,0141p,Raising of cattle and buffaloes,F7.0043,Yes,4,A,01,014,0144,0144,Sheep-Beef Cattle Farming, Raising of cattle and buffaloes ,0141,p,ANZSIC-0144,ANZSIC-014,ISIC-0141,Yes,2,4,2,Raising of cattle and buffaloes,,,,,ANZSIC-0192,0192
,,,0144p,Raising of sheep and goats,F7.0044,No,4,A,01,014,0144,0144,Sheep-Beef Cattle Farming, Raising of sheep and goats ,0144,p,ANZSIC-0144,ANZSIC-014,ISIC-0144,Yes,2,3,2,Raising of sheep and goats,,,,,ANZSIC-0193,0193
,0145,Grain-Sheep or Grain-Beef Cattle Farming,0150,Mixed farming,F7.0045,Yes,4,A,01,014,0145,0145,Grain-Sheep or Grain-Beef Cattle Farming, Mixed farming ,0150,..,ANZSIC-0145,ANZSIC-014,ISIC-0150,Yes,1,1,1,Mixed farming,,,,,ANZSIC-0199,0199
,0146,Rice Growing,0112,Growing of rice,F7.0046,Yes,4,A,01,014,0146,0146,Rice Growing, Growing of rice ,0112,..,ANZSIC-0146,ANZSIC-014,ISIC-0112,Yes,1,1,1,Growing of rice,,,,,ANZSIC-02,02
,0149,Other Grain Growing,0111p,"Growing of cereals (except rice), leguminous crops and oil seeds",F7.0047,Yes,4,A,01,014,0149,0149,Other Grain Growing," Growing of cereals (except rice), leguminous crops and oil seeds ",0111,p,ANZSIC-0149,ANZSIC-014,ISIC-0111,Yes,2,4,2,"Growing of cereals (except rice), leguminous crops and oil seeds",,,,,ANZSIC-020,020
,,,0119p,Growing of other non-perennial crops,F7.0048,No,4,A,01,014,0149,0149,Other Grain Growing, Growing of other non-perennial crops ,0119,p,ANZSIC-0149,ANZSIC-014,ISIC-0119,Yes,2,6,2,Growing of other non-perennial crops,,,,,ANZSIC-0201,0201
015,Other Crop Growing,,,,F7.0049,Yes,3,A,01,015,..,015,Other Crop Growing, .. ,..,..,ANZSIC-015,ANZSIC-01,..,No,..,..,1,..,,,,,ANZSIC-0202,0202
,0151,Sugar Cane Growing,0114,Growing of sugar cane,F7.0050,Yes,4,A,01,015,0151,0151,Sugar Cane Growing, Growing of sugar cane ,0114,..,ANZSIC-0151,ANZSIC-015,ISIC-0114,Yes,1,1,1,Growing of sugar cane,,,,,ANZSIC-0203,0203
,0152,Cotton Growing,0116p,Growing of fibre crops,F7.0051,Yes,4,A,01,015,0152,0152,Cotton Growing, Growing of fibre crops ,0116,p,ANZSIC-0152,ANZSIC-015,ISIC-0116,Yes,1,2,1,Growing of fibre crops,,,,,ANZSIC-03,03
,0159,Other Crop Growing n.e.c.,0111p,"Growing of cereals (except rice), leguminous crops and oil seeds",F7.0052,Yes,4,A,01,015,0159,0159,Other Crop Growing n.e.c.," Growing of cereals (except rice), leguminous crops and oil seeds ",0111,p,ANZSIC-0159,ANZSIC-015,ISIC-0111,Yes,7,4,7,"Growing of cereals (except rice), leguminous crops and oil seeds",,,,,ANZSIC-030,030
,,,0115,Growing of tobacco,F7.0053,No,4,A,01,015,0159,0159,Other Crop Growing n.e.c., Growing of tobacco ,0115,..,ANZSIC-0159,ANZSIC-015,ISIC-0115,Yes,7,1,7,Growing of tobacco,,,,,ANZSIC-0301,0301
,,,0116p,Growing of fibre crops,F7.0054,No,4,A,01,015,0159,0159,Other Crop Growing n.e.c., Growing of fibre crops ,0116,p,ANZSIC-0159,ANZSIC-015,ISIC-0116,Yes,7,2,7,Growing of fibre crops,,,,,ANZSIC-0302,0302
,,,0119p,Growing of other non-perennial crops,F7.0055,No,4,A,01,015,0159,0159,Other Crop Growing n.e.c., Growing of other non-perennial crops ,0119,p,ANZSIC-0159,ANZSIC-015,ISIC-0119,Yes,7,6,7,Growing of other non-perennial crops,,,,,ANZSIC-04,04
,,,0127,Growing of beverage crops,F7.0056,No,4,A,01,015,0159,0159,Other Crop Growing n.e.c., Growing of beverage crops ,0127,..,ANZSIC-0159,ANZSIC-015,ISIC-0127,Yes,7,1,7,Growing of beverage crops,,,,,ANZSIC-041,041
,,,0128p,"Growing of spices, aromatic, drug and pharmaceutical crops",F7.0057,No,4,A,01,015,0159,0159,Other Crop Growing n.e.c.," Growing of spices, aromatic, drug and pharmaceutical crops ",0128,p,ANZSIC-0159,ANZSIC-015,ISIC-0128,Yes,7,3,7,"Growing of spices, aromatic, drug and pharmaceutical crops",,,,,ANZSIC-0411,0411
,,,0129p,Growing of other perennial crops,F7.0058,No,4,A,01,015,0159,0159,Other Crop Growing n.e.c., Growing of other perennial crops ,0129,p,ANZSIC-0159,ANZSIC-015,ISIC-0129,Yes,7,7,7,Growing of other perennial crops,,,,,ANZSIC-0412,0412
016,Dairy Cattle Farming,,,,F7.0059,Yes,3,A,01,016,..,016,Dairy Cattle Farming, .. ,..,..,ANZSIC-016,ANZSIC-01,..,No,..,..,1,..,,,,,ANZSIC-0413,0413
