"Division, Sub-Ddivision
Group","Class,Descriptions",Class Description,ISIC-P,ISIC Description,UID,ANZSIC CODE,Level,Division,Sub-Ddivision,Group,Class,Code,Description,ISIC Description,ISIC,ISIC-P,#ANZSIC,"PARENT #ANZSIC",#ISIC,Used For Concordance ,"Matches to 
Concordance
(ANZIC to ISIC)","Matches to 
Concordance
(ISIC to ANZIC)",Matched to NETVIEW,Match ISIC for description,Comments,,,,"#ANZSIC
Codes
Unique",Code
27,Gas Supply,,,,F7.0612,Yes,2,D,27,..,..,27,Gas Supply, .. ,..,..,ANZSIC-27,ANZSIC-D,..,No,..,..,1,..,,,,,ANZSIC-633,633
270,Gas Supply,,,,F7.0613,Yes,3,D,27,270,..,270,Gas Supply, .. ,..,..,ANZSIC-270,ANZSIC-27,..,No,..,..,1,..,,,,,ANZSIC-6330,6330
,2700,Gas Supply,3520,Manufacture of gas; distribution of gaseous fuels through mains,F7.0614,Yes,4,D,27,270,2700,2700,Gas Supply, Manufacture of gas; distribution of gaseous fuels through mains ,3520,..,ANZSIC-2700,ANZSIC-270,ISIC-3520,Yes,1,1,1,Manufacture of gas; distribution of gaseous fuels through mains,,,,,ANZSIC-64,64
28,"Water Supply, Sewerage and Drainage Services",,,,F7.0615,Yes,2,D,28,..,..,28,"Water Supply, Sewerage and Drainage Services", .. ,..,..,ANZSIC-28,ANZSIC-D,..,No,..,..,1,..,,,,,ANZSIC-641,641
281,"Water Supply, Sewerage and Drainage Services",,,,F7.0616,Yes,3,D,28,281,..,281,"Water Supply, Sewerage and Drainage Services", .. ,..,..,ANZSIC-281,ANZSIC-28,..,No,..,..,1,..,,,,,ANZSIC-6411,6411
,2811,Water Supply ,3530,Steam and air conditioning supply,F7.0617,Yes,4,D,28,281,2811,2811,Water Supply , Steam and air conditioning supply ,3530,..,ANZSIC-2811,ANZSIC-281,ISIC-3530,Yes,3,1,3,Steam and air conditioning supply,,,,,ANZSIC-6419,6419
,,,3600,"Water collection, treatment and supply",F7.0618,No,4,D,28,281,2811,2811,Water Supply ," Water collection, treatment and supply ",3600,..,ANZSIC-2811,ANZSIC-281,ISIC-3600,Yes,3,1,3,"Water collection, treatment and supply",,,,,ANZSIC-642,642
,,,4930p,Transport via pipeline,F7.0619,No,4,D,28,281,2811,2811,Water Supply , Transport via pipeline ,4930,p,ANZSIC-2811,ANZSIC-281,ISIC-4930,Yes,3,2,3,Transport via pipeline,,,,,ANZSIC-6420,6420
,2812,Sewerage and Drainage Services,3700p,Sewerage,F7.0620,Yes,4,D,28,281,2812,2812,Sewerage and Drainage Services, Sewerage ,3700,p,ANZSIC-2812,ANZSIC-281,ISIC-3700,Yes,1,3,1,Sewerage,,,,,ANZSIC-L,L
29,"Waste Collection, Treatment and Disposal Services",,,,F7.0621,Yes,2,D,29,..,..,29,"Waste Collection, Treatment and Disposal Services", .. ,..,..,ANZSIC-29,ANZSIC-D,..,No,..,..,1,..,,,,,ANZSIC-66,66
291,Waste Collection Services,,,,F7.0622,Yes,3,D,29,291,..,291,Waste Collection Services, .. ,..,..,ANZSIC-291,ANZSIC-29,..,No,..,..,1,..,,,,,ANZSIC-661,661
,2911,Solid Waste Collection Services,3811p,Collection of non-hazardous waste,F7.0623,Yes,4,D,29,291,2911,2911,Solid Waste Collection Services, Collection of non-hazardous waste ,3811,p,ANZSIC-2911,ANZSIC-291,ISIC-3811,Yes,2,4,2,Collection of non-hazardous waste,,,,,ANZSIC-6611,6611
,,,3812p,Collection of hazardous waste,F7.0624,No,4,D,29,291,2911,2911,Solid Waste Collection Services, Collection of hazardous waste ,3812,p,ANZSIC-2911,ANZSIC-291,ISIC-3812,Yes,2,4,2,Collection of hazardous waste,,,,,ANZSIC-6619,6619
,2919,Other Waste Collection Services,3700p,Sewerage,F7.0625,Yes,4,D,29,291,2919,2919,Other Waste Collection Services, Sewerage ,3700,p,ANZSIC-2919,ANZSIC-291,ISIC-3700,Yes,3,3,3,Sewerage,,,,,ANZSIC-662,662
,,,3811p,Collection of non-hazardous waste,F7.0626,No,4,D,29,291,2919,2919,Other Waste Collection Services, Collection of non-hazardous waste ,3811,p,ANZSIC-2919,ANZSIC-291,ISIC-3811,Yes,3,4,3,Collection of non-hazardous waste,,,,,ANZSIC-6620,6620
,,,3812p,Collection of hazardous waste,F7.0627,No,4,D,29,291,2919,2919,Other Waste Collection Services, Collection of hazardous waste ,3812,p,ANZSIC-2919,ANZSIC-291,ISIC-3812,Yes,3,4,3,Collection of hazardous waste,,,,,ANZSIC-663,663
292,"Waste Treatment, Disposal and Remediation Services",,,,F7.0628,Yes,3,D,29,292,..,292,"Waste Treatment, Disposal and Remediation Services", .. ,..,..,ANZSIC-292,ANZSIC-29,..,No,..,..,1,..,,,,,ANZSIC-6631,6631
,2921,Waste Treatment and Disposal Services,3700p,Sewerage,F7.0629,Yes,4,D,29,292,2921,2921,Waste Treatment and Disposal Services, Sewerage ,3700,p,ANZSIC-2921,ANZSIC-292,ISIC-3700,Yes,5,3,5,Sewerage,,,,,ANZSIC-6632,6632
,,,3811p,Collection of non-hazardous waste,F7.0630,No,4,D,29,292,2921,2921,Waste Treatment and Disposal Services, Collection of non-hazardous waste ,3811,p,ANZSIC-2921,ANZSIC-292,ISIC-3811,Yes,5,4,5,Collection of non-hazardous waste,,,,,ANZSIC-6639,6639
,,,3812p,Collection of hazardous waste,F7.0631,No,4,D,29,292,2921,2921,Waste Treatment and Disposal Services, Collection of hazardous waste ,3812,p,ANZSIC-2921,ANZSIC-292,ISIC-3812,Yes,5,4,5,Collection of hazardous waste,,,,,ANZSIC-664,664
,,,3821p,Treatment and disposal of non-hazardous waste,F7.0632,No,4,D,29,292,2921,2921,Waste Treatment and Disposal Services, Treatment and disposal of non-hazardous waste ,3821,p,ANZSIC-2921,ANZSIC-292,ISIC-3821,Yes,5,4,5,Treatment and disposal of non-hazardous waste,,,,,ANZSIC-6640,6640
,,,3822p,Treatment and disposal of hazardous waste,F7.0633,No,4,D,29,292,2921,2921,Waste Treatment and Disposal Services, Treatment and disposal of hazardous waste ,3822,p,ANZSIC-2921,ANZSIC-292,ISIC-3822,Yes,5,2,5,Treatment and disposal of hazardous waste,,,,,ANZSIC-67,67
,2922,Waste Remediation and Materials Recovery Services,3811p,Collection of non-hazardous waste,F7.0634,Yes,4,D,29,292,2922,2922,Waste Remediation and Materials Recovery Services, Collection of non-hazardous waste ,3811,p,ANZSIC-2922,ANZSIC-292,ISIC-3811,Yes,6,4,6,Collection of non-hazardous waste,,,,,ANZSIC-671,671
,,,3812p,Collection of hazardous waste,F7.0635,No,4,D,29,292,2922,2922,Waste Remediation and Materials Recovery Services, Collection of hazardous waste ,3812,p,ANZSIC-2922,ANZSIC-292,ISIC-3812,Yes,6,4,6,Collection of hazardous waste,,,,,ANZSIC-6711,6711
,,,3821p,Treatment and disposal of non-hazardous waste,F7.0636,No,4,D,29,292,2922,2922,Waste Remediation and Materials Recovery Services, Treatment and disposal of non-hazardous waste ,3821,p,ANZSIC-2922,ANZSIC-292,ISIC-3821,Yes,6,4,6,Treatment and disposal of non-hazardous waste,,,,,ANZSIC-6712,6712
,,,3822p,Treatment and disposal of hazardous waste,F7.0637,No,4,D,29,292,2922,2922,Waste Remediation and Materials Recovery Services, Treatment and disposal of hazardous waste ,3822,p,ANZSIC-2922,ANZSIC-292,ISIC-3822,Yes,6,2,6,Treatment and disposal of hazardous waste,,,,,ANZSIC-672,672
,,,3830p,Materials recovery,F7.0638,No,4,D,29,292,2922,2922,Waste Remediation and Materials Recovery Services, Materials recovery ,3830,p,ANZSIC-2922,ANZSIC-292,ISIC-3830,Yes,6,2,6,Materials recovery,,,,,ANZSIC-6720,6720
,,,3900,Remediation activities and other waste management services,F7.0639,No,4,D,29,292,2922,2922,Waste Remediation and Materials Recovery Services, Remediation activities and other waste management services ,3900,..,ANZSIC-2922,ANZSIC-292,ISIC-3900,Yes,6,1,6,Remediation activities and other waste management services,,,,,ANZSIC-M,M
,,,,,F7.0640,No,..,..,..,..,..,..,.., .. ,..,..,..,..,..,No,..,..,..,..,,,,,ANZSIC-69,69
E,Construction,,,,F7.0641,Yes,1,E,..,..,..,E,Construction, .. ,..,..,ANZSIC-E,ANZSIC,..,No,..,..,1,..,,,,,ANZSIC-691,691
30,Building Construction,,,,F7.0642,Yes,2,E,30,..,..,30,Building Construction, .. ,..,..,ANZSIC-30,ANZSIC-E,..,No,..,..,1,..,,,,,ANZSIC-6910,6910
301,Residential Building Construction,,,,F7.0643,Yes,3,E,30,301,..,301,Residential Building Construction, .. ,..,..,ANZSIC-301,ANZSIC-30,..,No,..,..,1,..,,,,,ANZSIC-692,692
,3011,House Construction,4100p,Construction of buildings,F7.0644,Yes,4,E,30,301,3011,3011,House Construction, Construction of buildings ,4100,p,ANZSIC-3011,ANZSIC-301,ISIC-4100,Yes,1,3,1,Construction of buildings,,,,,ANZSIC-6921,6921
,3019,Other Residential Building Construction,4100p,Construction of buildings,F7.0645,Yes,4,E,30,301,3019,3019,Other Residential Building Construction, Construction of buildings ,4100,p,ANZSIC-3019,ANZSIC-301,ISIC-4100,Yes,1,3,1,Construction of buildings,,,,,ANZSIC-6922,6922
302,Non-Residential Building Construction,,,,F7.0646,Yes,3,E,30,302,..,302,Non-Residential Building Construction, .. ,..,..,ANZSIC-302,ANZSIC-30,..,No,..,..,1,..,,,,,ANZSIC-6923,6923
,3020,Non-Residential Building Construction,4100p,Construction of buildings,F7.0647,Yes,4,E,30,302,3020,3020,Non-Residential Building Construction, Construction of buildings ,4100,p,ANZSIC-3020,ANZSIC-302,ISIC-4100,Yes,1,3,1,Construction of buildings,,,,,ANZSIC-6924,6924
31,Heavy and Civil Engineering Construction,,,,F7.0648,Yes,2,E,31,..,..,31,Heavy and Civil Engineering Construction, .. ,..,..,ANZSIC-31,ANZSIC-E,..,No,..,..,1,..,,,,,ANZSIC-6925,6925
310,Heavy and Civil Engineering Construction,,,,F7.0649,Yes,3,E,31,310,..,310,Heavy and Civil Engineering Construction, .. ,..,..,ANZSIC-310,ANZSIC-31,..,No,..,..,1,..,,,,,ANZSIC-693,693
,3101,Road and Bridge Construction,4210p,Construction of roads and railways,F7.0650,Yes,4,E,31,310,3101,3101,Road and Bridge Construction, Construction of roads and railways ,4210,p,ANZSIC-3101,ANZSIC-310,ISIC-4210,Yes,2,3,2,Construction of roads and railways,,,,,ANZSIC-6931,6931
,,,4290p,Construction of other civil engineering projects,F7.0651,No,4,E,31,310,3101,3101,Road and Bridge Construction, Construction of other civil engineering projects ,4290,p,ANZSIC-3101,ANZSIC-310,ISIC-4290,Yes,2,3,2,Construction of other civil engineering projects,,,,,ANZSIC-6932,6932
,3109,Other Heavy and Civil Engineering Construction,3320p,Installation of industrial machinery and equipment,F7.0652,Yes,4,E,31,310,3109,3109,Other Heavy and Civil Engineering Construction, Installation of industrial machinery and equipment ,3320,p,ANZSIC-3109,ANZSIC-310,ISIC-3320,Yes,5,5,5,Installation of industrial machinery and equipment,,,,,ANZSIC-694,694
,,,4210p,Construction of roads and railways,F7.0653,No,4,E,31,310,3109,3109,Other Heavy and Civil Engineering Construction, Construction of roads and railways ,4210,p,ANZSIC-3109,ANZSIC-310,ISIC-4210,Yes,5,3,5,Construction of roads and railways,,,,,ANZSIC-6940,6940
,,,4220,Construction of utility projects,F7.0654,No,4,E,31,310,3109,3109,Other Heavy and Civil Engineering Construction, Construction of utility projects ,4220,..,ANZSIC-3109,ANZSIC-310,ISIC-4220,Yes,5,1,5,Construction of utility projects,,,,,ANZSIC-695,695
,,,4290p,Construction of other civil engineering projects,F7.0655,No,4,E,31,310,3109,3109,Other Heavy and Civil Engineering Construction, Construction of other civil engineering projects ,4290,p,ANZSIC-3109,ANZSIC-310,ISIC-4290,Yes,5,3,5,Construction of other civil engineering projects,,,,,ANZSIC-6950,6950
,,,4390p,Other specialized construction activities,F7.0656,No,4,E,31,310,3109,3109,Other Heavy and Civil Engineering Construction, Other specialized construction activities ,4390,p,ANZSIC-3109,ANZSIC-310,ISIC-4390,Yes,5,9,5,Other specialized construction activities,,,,,ANZSIC-696,696
32,Construction Services,,,,F7.0657,Yes,2,E,32,..,..,32,Construction Services, .. ,..,..,ANZSIC-32,ANZSIC-E,..,No,..,..,1,..,,,,,ANZSIC-6961,6961
321,Land Development and Site Preparation Services,,,,F7.0658,Yes,3,E,32,321,..,321,Land Development and Site Preparation Services, .. ,..,..,ANZSIC-321,ANZSIC-32,..,No,..,..,1,..,,,,,ANZSIC-6962,6962
,3211,Land Development and Subdivision,4290p,Construction of other civil engineering projects,F7.0659,Yes,4,E,32,321,3211,3211,Land Development and Subdivision, Construction of other civil engineering projects ,4290,p,ANZSIC-3211,ANZSIC-321,ISIC-4290,Yes,2,3,2,Construction of other civil engineering projects,,,,,ANZSIC-697,697
,,,6810p,Real estate activities with own or leased property,F7.0660,No,4,E,32,321,3211,3211,Land Development and Subdivision, Real estate activities with own or leased property ,6810,p,ANZSIC-3211,ANZSIC-321,ISIC-6810,Yes,2,3,2,Real estate activities with own or leased property,,,,,ANZSIC-6970,6970
,3212,Site Preparation Services,4311,Demolition,F7.0661,Yes,4,E,32,321,3212,3212,Site Preparation Services, Demolition ,4311,..,ANZSIC-3212,ANZSIC-321,ISIC-4311,Yes,2,1,2,Demolition,,,,,ANZSIC-699,699
,,,4312p,Site preparation,F7.0662,No,4,E,32,321,3212,3212,Site Preparation Services, Site preparation ,4312,p,ANZSIC-3212,ANZSIC-321,ISIC-4312,Yes,2,2,2,Site preparation,,,,,ANZSIC-6991,6991
322,Building Structure Services,,,,F7.0663,Yes,3,E,32,322,..,322,Building Structure Services, .. ,..,..,ANZSIC-322,ANZSIC-32,..,No,..,..,1,..,,,,,ANZSIC-6999,6999
,3221,Concreting Services,4390p,Other specialized construction activities,F7.0664,Yes,4,E,32,322,3221,3221,Concreting Services, Other specialized construction activities ,4390,p,ANZSIC-3221,ANZSIC-322,ISIC-4390,Yes,1,9,1,Other specialized construction activities,,,,,ANZSIC-70,70
,3222,Bricklaying Services,4390p,Other specialized construction activities,F7.0665,Yes,4,E,32,322,3222,3222,Bricklaying Services, Other specialized construction activities ,4390,p,ANZSIC-3222,ANZSIC-322,ISIC-4390,Yes,1,9,1,Other specialized construction activities,,,,,ANZSIC-700,700
,3223,Roofing Services,4390p,Other specialized construction activities,F7.0666,Yes,4,E,32,322,3223,3223,Roofing Services, Other specialized construction activities ,4390,p,ANZSIC-3223,ANZSIC-322,ISIC-4390,Yes,1,9,1,Other specialized construction activities,,,,,ANZSIC-7000,7000
,3224,Structural Steel Erection Services,4390p,Other specialized construction activities,F7.0667,Yes,4,E,32,322,3224,3224,Structural Steel Erection Services, Other specialized construction activities ,4390,p,ANZSIC-3224,ANZSIC-322,ISIC-4390,Yes,1,9,1,Other specialized construction activities,,,,,ANZSIC-N,N
323,Building Installation Services,,,,F7.0668,Yes,3,E,32,323,..,323,Building Installation Services, .. ,..,..,ANZSIC-323,ANZSIC-32,..,No,..,..,1,..,,,,,ANZSIC-72,72
,3231,Plumbing Services,4322p,"Plumbing, heat and air-conditioning installation",F7.0669,Yes,4,E,32,323,3231,3231,Plumbing Services," Plumbing, heat and air-conditioning installation ",4322,p,ANZSIC-3231,ANZSIC-323,ISIC-4322,Yes,1,4,1,"Plumbing, heat and air-conditioning installation",,,,,ANZSIC-721,721
,3232,Electrical Services,3320p,Installation of industrial machinery and equipment,F7.0670,Yes,4,E,32,323,3232,3232,Electrical Services, Installation of industrial machinery and equipment ,3320,p,ANZSIC-3232,ANZSIC-323,ISIC-3320,Yes,3,5,3,Installation of industrial machinery and equipment,,,,,ANZSIC-7211,7211
,,,4321p,Electrical installation,F7.0671,No,4,E,32,323,3232,3232,Electrical Services, Electrical installation ,4321,p,ANZSIC-3232,ANZSIC-323,ISIC-4321,Yes,3,2,3,Electrical installation,,,,,ANZSIC-7212,7212
,,,4329p,Other construction installation,F7.0672,No,4,E,32,323,3232,3232,Electrical Services, Other construction installation ,4329,p,ANZSIC-3232,ANZSIC-323,ISIC-4329,Yes,3,4,3,Other construction installation,,,,,ANZSIC-722,722
,3233,Air Conditioning and Heating Services,4322p,"Plumbing, heat and air-conditioning installation",F7.0673,Yes,4,E,32,323,3233,3233,Air Conditioning and Heating Services," Plumbing, heat and air-conditioning installation ",4322,p,ANZSIC-3233,ANZSIC-323,ISIC-4322,Yes,1,4,1,"Plumbing, heat and air-conditioning installation",,,,,ANZSIC-7220,7220
,3234,Fire and Security Alarm Installation Services,4321p,Electrical installation,F7.0674,Yes,4,E,32,323,3234,3234,Fire and Security Alarm Installation Services, Electrical installation ,4321,p,ANZSIC-3234,ANZSIC-323,ISIC-4321,Yes,2,2,2,Electrical installation,,,,,ANZSIC-729,729
,,,4322p,"Plumbing, heat and air-conditioning installation",F7.0675,No,4,E,32,323,3234,3234,Fire and Security Alarm Installation Services," Plumbing, heat and air-conditioning installation ",4322,p,ANZSIC-3234,ANZSIC-323,ISIC-4322,Yes,2,4,2,"Plumbing, heat and air-conditioning installation",,,,,ANZSIC-7291,7291
,3239,Other Building Installation Services,3320p,Installation of industrial machinery and equipment,F7.0676,Yes,4,E,32,323,3239,3239,Other Building Installation Services, Installation of industrial machinery and equipment ,3320,p,ANZSIC-3239,ANZSIC-323,ISIC-3320,Yes,4,5,4,Installation of industrial machinery and equipment,,,,,ANZSIC-7292,7292
,,,4329p,Other construction installation,F7.0677,No,4,E,32,323,3239,3239,Other Building Installation Services, Other construction installation ,4329,p,ANZSIC-3239,ANZSIC-323,ISIC-4329,Yes,4,4,4,Other construction installation,,,,,ANZSIC-7293,7293
,,,4330p,Building completion and finishing,F7.0678,No,4,E,32,323,3239,3239,Other Building Installation Services, Building completion and finishing ,4330,p,ANZSIC-3239,ANZSIC-323,ISIC-4330,Yes,4,11,4,Building completion and finishing,,,,,ANZSIC-7294,7294
,,,4390p,Other specialized construction activities,F7.0679,No,4,E,32,323,3239,3239,Other Building Installation Services, Other specialized construction activities ,4390,p,ANZSIC-3239,ANZSIC-323,ISIC-4390,Yes,4,9,4,Other specialized construction activities,,,,,ANZSIC-7299,7299
324,Building Completion Services,,,,F7.0680,Yes,3,E,32,324,..,324,Building Completion Services, .. ,..,..,ANZSIC-324,ANZSIC-32,..,No,..,..,1,..,,,,,ANZSIC-73,73
,3241,Plastering and Ceiling Services,4330p,Building completion and finishing,F7.0681,Yes,4,E,32,324,3241,3241,Plastering and Ceiling Services, Building completion and finishing ,4330,p,ANZSIC-3241,ANZSIC-324,ISIC-4330,Yes,1,11,1,Building completion and finishing,,,,,ANZSIC-731,731
,3242,Carpentry Services,4330p,Building completion and finishing,F7.0682,Yes,4,E,32,324,3242,3242,Carpentry Services, Building completion and finishing ,4330,p,ANZSIC-3242,ANZSIC-324,ISIC-4330,Yes,1,11,1,Building completion and finishing,,,,,ANZSIC-7311,7311
,3243,Tiling and Carpeting Services,4330p,Building completion and finishing,F7.0683,Yes,4,E,32,324,3243,3243,Tiling and Carpeting Services, Building completion and finishing ,4330,p,ANZSIC-3243,ANZSIC-324,ISIC-4330,Yes,1,11,1,Building completion and finishing,,,,,ANZSIC-7312,7312
,3244,Painting and Decorating Services,4330p,Building completion and finishing,F7.0684,Yes,4,E,32,324,3244,3244,Painting and Decorating Services, Building completion and finishing ,4330,p,ANZSIC-3244,ANZSIC-324,ISIC-4330,Yes,1,11,1,Building completion and finishing,,,,,ANZSIC-7313,7313
,3245,Glazing Services,4330p,Building completion and finishing,F7.0685,Yes,4,E,32,324,3245,3245,Glazing Services, Building completion and finishing ,4330,p,ANZSIC-3245,ANZSIC-324,ISIC-4330,Yes,1,11,1,Building completion and finishing,,,,,ANZSIC-732,732
329,Other Construction Services,,,,F7.0686,Yes,3,E,32,329,..,329,Other Construction Services, .. ,..,..,ANZSIC-329,ANZSIC-32,..,No,..,..,1,..,,,,,ANZSIC-7320,7320
,3291,Landscape Construction Services,4322p,"Plumbing, heat and air-conditioning installation",F7.0687,Yes,4,E,32,329,3291,3291,Landscape Construction Services," Plumbing, heat and air-conditioning installation ",4322,p,ANZSIC-3291,ANZSIC-329,ISIC-4322,Yes,4,4,4,"Plumbing, heat and air-conditioning installation",,,,,ANZSIC-O,O
,,,4330p,Building completion and finishing,F7.0688,No,4,E,32,329,3291,3291,Landscape Construction Services, Building completion and finishing ,4330,p,ANZSIC-3291,ANZSIC-329,ISIC-4330,Yes,4,11,4,Building completion and finishing,,,,,ANZSIC-75,75
,,,4390p,Other specialized construction activities,F7.0689,No,4,E,32,329,3291,3291,Landscape Construction Services, Other specialized construction activities ,4390,p,ANZSIC-3291,ANZSIC-329,ISIC-4390,Yes,4,9,4,Other specialized construction activities,,,,,ANZSIC-751,751
,,,8130p,Landscape care and maintenance service activities,F7.0690,No,4,E,32,329,3291,3291,Landscape Construction Services, Landscape care and maintenance service activities ,8130,p,ANZSIC-3291,ANZSIC-329,ISIC-8130,Yes,4,2,4,Landscape care and maintenance service activities,,,,,ANZSIC-7510,7510
,3292,Hire of Construction Machinery with Operator,4312p,Site preparation,F7.0691,Yes,4,E,32,329,3292,3292,Hire of Construction Machinery with Operator, Site preparation ,4312,p,ANZSIC-3292,ANZSIC-329,ISIC-4312,Yes,2,2,2,Site preparation,,,,,ANZSIC-752,752
,,,4390p,Other specialized construction activities,F7.0692,No,4,E,32,329,3292,3292,Hire of Construction Machinery with Operator, Other specialized construction activities ,4390,p,ANZSIC-3292,ANZSIC-329,ISIC-4390,Yes,2,9,2,Other specialized construction activities,,,,,ANZSIC-7520,7520
,3299,Other Construction Services n.e.c.,3320p,Installation of industrial machinery and equipment,F7.0693,Yes,4,E,32,329,3299,3299,Other Construction Services n.e.c., Installation of industrial machinery and equipment ,3320,p,ANZSIC-3299,ANZSIC-329,ISIC-3320,Yes,5,5,5,Installation of industrial machinery and equipment,,,,,ANZSIC-753,753
,,,4210p,Construction of roads and railways,F7.0694,No,4,E,32,329,3299,3299,Other Construction Services n.e.c., Construction of roads and railways ,4210,p,ANZSIC-3299,ANZSIC-329,ISIC-4210,Yes,5,3,5,Construction of roads and railways,,,,,ANZSIC-7530,7530
,,,4329p,Other construction installation,F7.0695,No,4,E,32,329,3299,3299,Other Construction Services n.e.c., Other construction installation ,4329,p,ANZSIC-3299,ANZSIC-329,ISIC-4329,Yes,5,4,5,Other construction installation,,,,,ANZSIC-754,754
,,,4330p,Building completion and finishing,F7.0696,No,4,E,32,329,3299,3299,Other Construction Services n.e.c., Building completion and finishing ,4330,p,ANZSIC-3299,ANZSIC-329,ISIC-4330,Yes,5,11,5,Building completion and finishing,,,,,ANZSIC-7540,7540
,,,4390p,Other specialized construction activities,F7.0697,No,4,E,32,329,3299,3299,Other Construction Services n.e.c., Other specialized construction activities ,4390,p,ANZSIC-3299,ANZSIC-329,ISIC-4390,Yes,5,9,5,Other specialized construction activities,,,,,ANZSIC-755,755
,,,,,F7.0698,No,..,..,..,..,..,..,.., .. ,..,..,..,..,..,No,..,..,..,..,,,,,ANZSIC-7551,7551
F,Wholesale Trade,,,,F7.0699,Yes,1,F,..,..,..,F,Wholesale Trade, .. ,..,..,ANZSIC-F,ANZSIC,..,No,..,..,1,..,,,,,ANZSIC-7552,7552
33,Basic Material Wholesaling,,,,F7.0700,Yes,2,F,33,..,..,33,Basic Material Wholesaling, .. ,..,..,ANZSIC-33,ANZSIC-F,..,No,..,..,1,..,,,,,ANZSIC-76,76
331,Agricultural Product Wholesaling,,,,F7.0701,Yes,3,F,33,331,..,331,Agricultural Product Wholesaling, .. ,..,..,ANZSIC-331,ANZSIC-33,..,No,..,..,1,..,,,,,ANZSIC-760,760
,3311,Wool Wholesaling,4620p,Wholesale of agricultural raw materials and live animals,F7.0702,Yes,4,F,33,331,3311,3311,Wool Wholesaling, Wholesale of agricultural raw materials and live animals ,4620,p,ANZSIC-3311,ANZSIC-331,ISIC-4620,Yes,1,5,1,Wholesale of agricultural raw materials and live animals,,,,,ANZSIC-7600,7600
,3312,Cereal Grain Wholesaling,4620p,Wholesale of agricultural raw materials and live animals,F7.0703,Yes,4,F,33,331,3312,3312,Cereal Grain Wholesaling, Wholesale of agricultural raw materials and live animals ,4620,p,ANZSIC-3312,ANZSIC-331,ISIC-4620,Yes,1,5,1,Wholesale of agricultural raw materials and live animals,,,,,ANZSIC-77,77
,3319,Other Agricultural Product Wholesaling,4620p,Wholesale of agricultural raw materials and live animals,F7.0704,Yes,4,F,33,331,3319,3319,Other Agricultural Product Wholesaling, Wholesale of agricultural raw materials and live animals ,4620,p,ANZSIC-3319,ANZSIC-331,ISIC-4620,Yes,2,5,2,Wholesale of agricultural raw materials and live animals,,,,,ANZSIC-771,771
,,,4630p,"Wholesale of food, beverages and tobacco",F7.0705,No,4,F,33,331,3319,3319,Other Agricultural Product Wholesaling," Wholesale of food, beverages and tobacco ",4630,p,ANZSIC-3319,ANZSIC-331,ISIC-4630,Yes,2,9,2,"Wholesale of food, beverages and tobacco",,,,,ANZSIC-7711,7711
332,"Mineral, Metal and Chemical Wholesaling",,,,F7.0706,Yes,3,F,33,332,..,332,"Mineral, Metal and Chemical Wholesaling", .. ,..,..,ANZSIC-332,ANZSIC-33,..,No,..,..,1,..,,,,,ANZSIC-7712,7712
,3321,Petroleum Product Wholesaling,4661p,"Wholesale of solid, liquid and gaseous fuels and related products",F7.0707,Yes,4,F,33,332,3321,3321,Petroleum Product Wholesaling," Wholesale of solid, liquid and gaseous fuels and related products ",4661,p,ANZSIC-3321,ANZSIC-332,ISIC-4661,Yes,1,4,1,"Wholesale of solid, liquid and gaseous fuels and related products",,,,,ANZSIC-7713,7713
,3322,Metal and Mineral Wholesaling,4661p,"Wholesale of solid, liquid and gaseous fuels and related products",F7.0708,Yes,4,F,33,332,3322,3322,Metal and Mineral Wholesaling," Wholesale of solid, liquid and gaseous fuels and related products ",4661,p,ANZSIC-3322,ANZSIC-332,ISIC-4661,Yes,3,4,3,"Wholesale of solid, liquid and gaseous fuels and related products",,,,,ANZSIC-7714,7714
,,,4662p,Wholesale of metals and metal ores,F7.0709,No,4,F,33,332,3322,3322,Metal and Mineral Wholesaling, Wholesale of metals and metal ores ,4662,p,ANZSIC-3322,ANZSIC-332,ISIC-4662,Yes,3,2,3,Wholesale of metals and metal ores,,,,,ANZSIC-7719,7719
,,,4669p,Wholesale of waste and scrap and other products n.e.c.,F7.0710,No,4,F,33,332,3322,3322,Metal and Mineral Wholesaling, Wholesale of waste and scrap and other products n.e.c. ,4669,p,ANZSIC-3322,ANZSIC-332,ISIC-4669,Yes,3,9,3,Wholesale of waste and scrap and other products n.e.c.,,,,,ANZSIC-772,772
,3323,Industrial and Agricultural Chemical Product Wholesaling,4669p,Wholesale of waste and scrap and other products n.e.c.,F7.0711,Yes,4,F,33,332,3323,3323,Industrial and Agricultural Chemical Product Wholesaling, Wholesale of waste and scrap and other products n.e.c. ,4669,p,ANZSIC-3323,ANZSIC-332,ISIC-4669,Yes,1,9,1,Wholesale of waste and scrap and other products n.e.c.,,,,,ANZSIC-7720,7720
333,Timber and Hardware Goods Wholesaling,,,,F7.0712,Yes,3,F,33,333,..,333,Timber and Hardware Goods Wholesaling, .. ,..,..,ANZSIC-333,ANZSIC-33,..,No,..,..,1,..,,,,,ANZSIC-P,P
,3331,Timber Wholesaling,4663p,"Wholesale of construction materials, hardware, plumbing and heating equipment and supplies",F7.0713,Yes,4,F,33,333,3331,3331,Timber Wholesaling," Wholesale of construction materials, hardware, plumbing and heating equipment and supplies ",4663,p,ANZSIC-3331,ANZSIC-333,ISIC-4663,Yes,2,5,2,"Wholesale of construction materials, hardware, plumbing and heating equipment and supplies",,,,,ANZSIC-80,80
