Source,Target,UID,#NACE,#ISIC,#NACE matches,#ISIC matches
84.22,8422,F6.0880,NACE-84.22,ISIC-8422,1,1
84.23,8423,F6.0881,NACE-84.23,ISIC-8423,1,1
84.24,8423,F6.0882,NACE-84.24,ISIC-8423,1,1
84.25,8423,F6.0883,NACE-84.25,ISIC-8423,1,1
84.3,843,F6.0884,NACE-84.3,ISIC-843,1,1
84.30,8430,F6.0885,NACE-84.30,ISIC-8430,1,1
P,P,F6.0886,NACE-P,ISIC-P,1,1
85,85,F6.0887,NACE-85,ISIC-85,1,1
85.1,851,F6.0888,NACE-85.1,ISIC-851,1,1
85.10,8510,F6.0889,NACE-85.10,ISIC-8510,1,1
85.2,851,F6.0890,NACE-85.2,ISIC-851,1,1
85.20,8510,F6.0891,NACE-85.20,ISIC-8510,1,1
85.3,852,F6.0892,NACE-85.3,ISIC-852,1,1
85.31,8521,F6.0893,NACE-85.31,ISIC-8521,1,1
85.32,8522,F6.0894,NACE-85.32,ISIC-8522,1,1
85.4,853,F6.0895,NACE-85.4,ISIC-853,1,1
85.41,8530,F6.0896,NACE-85.41,ISIC-8530,1,1
85.42,8530,F6.0897,NACE-85.42,ISIC-8530,1,1
85.5,854,F6.0898,NACE-85.5,ISIC-854,1,1
85.51,8541,F6.0899,NACE-85.51,ISIC-8541,1,1
85.52,8542,F6.0900,NACE-85.52,ISIC-8542,1,1
85.53,8549,F6.0901,NACE-85.53,ISIC-8549,1,1
85.59,8549,F6.0902,NACE-85.59,ISIC-8549,1,1
85.6,855,F6.0903,NACE-85.6,ISIC-855,1,1
85.60,8550,F6.0904,NACE-85.60,ISIC-8550,1,1
Q,Q,F6.0905,NACE-Q,ISIC-Q,1,1
86,86,F6.0906,NACE-86,ISIC-86,1,1
86.1,861,F6.0907,NACE-86.1,ISIC-861,1,1
86.10,8610,F6.0908,NACE-86.10,ISIC-8610,1,1
86.2,862,F6.0909,NACE-86.2,ISIC-862,1,1
86.21,8620,F6.0910,NACE-86.21,ISIC-8620,1,1
86.22,8620,F6.0911,NACE-86.22,ISIC-8620,1,1
86.23,8620,F6.0912,NACE-86.23,ISIC-8620,1,1
86.9,869,F6.0913,NACE-86.9,ISIC-869,1,1
86.90,8690,F6.0914,NACE-86.90,ISIC-8690,1,1
87,87,F6.0915,NACE-87,ISIC-87,1,1
87.1,871,F6.0916,NACE-87.1,ISIC-871,1,1
87.10,8710,F6.0917,NACE-87.10,ISIC-8710,1,1
87.2,872,F6.0918,NACE-87.2,ISIC-872,1,1
87.20,8720,F6.0919,NACE-87.20,ISIC-8720,1,1
87.3,873,F6.0920,NACE-87.3,ISIC-873,1,1
87.30,8730,F6.0921,NACE-87.30,ISIC-8730,1,1
87.9,879,F6.0922,NACE-87.9,ISIC-879,1,1
87.90,8790,F6.0923,NACE-87.90,ISIC-8790,1,1
88,88,F6.0924,NACE-88,ISIC-88,1,1
88.1,881,F6.0925,NACE-88.1,ISIC-881,1,1
